18:33:18.354 -> Humidity: 58.00 %, Temp: 24.40 Celsius
18:33:20.371 -> Humidity: 57.60 %, Temp: 24.30 Celsius
18:33:22.387 -> Humidity: 57.30 %, Temp: 24.30 Celsius
18:33:24.404 -> Humidity: 57.00 %, Temp: 24.30 Celsius
18:33:26.384 -> Humidity: 56.90 %, Temp: 24.20 Celsius
18:33:28.401 -> Humidity: 56.70 %, Temp: 24.20 Celsius
18:33:30.417 -> Humidity: 56.60 %, Temp: 24.20 Celsius
18:33:32.434 -> Humidity: 56.40 %, Temp: 24.10 Celsius
18:33:34.451 -> Humidity: 56.30 %, Temp: 24.10 Celsius
18:33:36.467 -> Humidity: 56.30 %, Temp: 24.10 Celsius
18:33:38.448 -> Humidity: 56.10 %, Temp: 24.00 Celsius
18:33:40.464 -> Humidity: 56.10 %, Temp: 24.00 Celsius
18:33:42.481 -> Humidity: 56.10 %, Temp: 24.00 Celsius
18:33:44.497 -> Humidity: 56.10 %, Temp: 24.00 Celsius
18:33:46.514 -> Humidity: 56.20 %, Temp: 23.90 Celsius
18:33:48.530 -> Humidity: 56.30 %, Temp: 23.90 Celsius
18:33:50.511 -> Humidity: 56.30 %, Temp: 23.90 Celsius
18:33:52.527 -> Humidity: 56.30 %, Temp: 23.80 Celsius
18:33:54.544 -> Humidity: 56.30 %, Temp: 23.80 Celsius
18:33:56.560 -> Humidity: 56.20 %, Temp: 23.80 Celsius
18:33:58.577 -> Humidity: 56.30 %, Temp: 23.80 Celsius
18:34:00.593 -> Humidity: 56.20 %, Temp: 23.70 Celsius
18:34:02.574 -> Humidity: 56.30 %, Temp: 23.70 Celsius
18:34:04.590 -> Humidity: 56.40 %, Temp: 23.70 Celsius
18:34:06.607 -> Humidity: 56.70 %, Temp: 23.70 Celsius
18:34:08.623 -> Humidity: 56.80 %, Temp: 23.60 Celsius
18:34:10.640 -> Humidity: 56.80 %, Temp: 23.60 Celsius
18:34:12.620 -> Humidity: 57.00 %, Temp: 23.60 Celsius
18:34:14.637 -> Humidity: 57.00 %, Temp: 23.60 Celsius
18:34:16.648 -> Humidity: 57.00 %, Temp: 23.50 Celsius
18:34:18.665 -> Humidity: 57.10 %, Temp: 23.50 Celsius
18:34:20.681 -> Humidity: 57.20 %, Temp: 23.50 Celsius
18:34:22.698 -> Humidity: 57.30 %, Temp: 23.50 Celsius
18:34:24.718 -> Humidity: 59.00 %, Temp: 23.50 Celsius
18:34:26.714 -> Humidity: 58.80 %, Temp: 23.50 Celsius
18:34:28.707 -> Humidity: 58.60 %, Temp: 23.40 Celsius
18:34:30.723 -> Humidity: 59.10 %, Temp: 23.40 Celsius
